  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  9.75  -0.09  -0.85  24.2   -1.4   -0.5   0.0    0.0    0.0 
  9.73  -0.03  -0.79  24.1   -1.3   -0.5   0.0    0.0    0.0 
  9.71  -0.07  -0.75  24.0   -1.2   -0.4   0.0    0.0    0.0 
  9.73  -0.05  -0.81  23.7   -1.2   -0.5  -0.0    0.0    0.0 
  9.73  -0.08  -0.85  23.7   -1.2   -0.4  -0.0    0.0    0.0 
  9.72  -0.12  -0.78  23.6   -0.9   -0.4  -0.0    0.0    0.0 
  9.74  -0.12  -0.85  23.4   -0.9   -0.5  -0.0    0.0    0.0 
  9.76  -0.05  -0.87  23.4   -0.7   -0.5  -0.0    0.0    0.0 
  9.70  -0.06  -0.82  23.3   -0.7   -0.4  -0.0    0.0    0.0 
  9.74  -0.11  -0.84  23.0   -0.6   -0.4  -0.0    0.0    0.0 
  9.71  -0.12  -0.79  23.0   -0.4   -0.2  -0.0    0.0    0.0 
  9.73  -0.09  -0.80  22.7   -0.4   -0.2  -0.0    0.0    0.0 
  9.71  -0.14  -0.74  22.6   -0.1   -0.3  -0.0    0.0    0.0 
  9.75  -0.11  -0.81  22.3   -0.1   -0.4  -0.0    0.0    0.0 
  9.69  -0.10  -0.86  22.3    0.1   -0.3  -0.1    0.0    0.0 
  9.72  -0.14  -0.86  22.2    0.2   -0.4  -0.1    0.0    0.0 
  9.72  -0.11  -0.83  21.9    0.2   -0.3  -0.1    0.0    0.0 
  9.72  -0.09  -0.87  21.8    0.4   -0.2  -0.1    0.0    0.0 
  9.73  -0.12  -0.81  21.5    0.4   -0.4  -0.1    0.0    0.0 
  9.72  -0.13  -0.81  21.5    0.5   -0.3  -0.1    0.0    0.0 
  9.71  -0.11  -0.78  21.2    0.6   -0.2  -0.1    0.0    0.0 
  9.71  -0.09  -0.89  21.1    0.7   -0.3  -0.1    0.0    0.0 
  9.74  -0.07  -0.78  21.0    0.7   -0.4  -0.1    0.0    0.0 
  9.73  -0.09  -0.81  20.8    0.6   -0.3  -0.1    0.0    0.0 
  9.72  -0.17  -0.84  20.4    0.5   -0.3  -0.1    0.0    0.0 
  9.79  -0.13  -0.77  20.4    0.7   -0.2  -0.1    0.1    0.0 
  9.74  -0.10  -0.86  20.2    0.7   -0.2  -0.1    0.1    0.0 
  9.77  -0.11  -0.70  19.9    0.6   -0.3  -0.1    0.1    0.0 
  9.74  -0.10  -0.79  19.7    0.5   -0.4  -0.1    0.1    0.0 
