  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  9.74  -0.12  -0.78  29.9   -2.1   -0.2   0.0    0.0    0.0 
  9.76  -0.09  -0.79  29.9   -2.1   -0.8  -0.0    0.0    0.0 
  9.73  -0.10  -0.78  30.0   -2.1   -0.9  -0.0    0.0    0.0 
  9.73  -0.12  -0.76  30.2   -2.0   -1.0  -0.0    0.0    0.0 
  9.75  -0.15  -0.82  30.3   -1.9   -0.9  -0.0    0.0    0.0 
  9.68  -0.10  -0.83  30.5   -2.1   -0.6  -0.0    0.0    0.0 
  9.73  -0.07  -0.81  30.6   -2.1   -0.3  -0.0    0.0    0.0 
  9.68  -0.09  -0.86  30.3   -1.9    0.1  -0.0    0.0    0.0 
  9.74  -0.07  -0.79  29.9   -2.0    0.3  -0.0    0.0    0.0 
  9.67  -0.02  -0.81  29.6   -2.0    0.2  -0.0    0.0    0.0 
  9.77  -0.03  -0.86  28.9   -1.9    0.2  -0.0    0.0    0.0 
  9.72  -0.05  -0.79  28.3   -1.8   -0.1  -0.1    0.0    0.0 
  9.76  -0.05  -0.80  27.5   -1.6   -0.4  -0.1    0.0    0.0 
  9.72  -0.06  -0.80  26.7   -1.5   -0.4  -0.1    0.0    0.0 
  9.68  -0.13  -0.83  25.8   -1.2   -0.4  -0.1    0.0    0.0 
  9.66  -0.15  -0.86  25.0   -0.7   -0.7  -0.1    0.0    0.0 
  9.66  -0.15  -0.75  24.4   -0.5   -0.5  -0.1    0.0    0.0 
  9.72  -0.16  -0.73  23.4   -0.2   -0.4  -0.1    0.0    0.0 
  9.71  -0.17  -0.83  22.5   -0.1    0.1  -0.1    0.0    0.0 
  9.71  -0.17  -0.83  21.6    0.0    0.4  -0.1    0.0    0.0 
  9.74  -0.16  -0.81  20.4    0.2    0.5  -0.1    0.0    0.0 
  9.74  -0.16  -0.81  19.3    0.4    0.5  -0.1    0.0    0.0 
  9.76  -0.13  -0.86  18.1    0.4    0.4  -0.1    0.0    0.0 
  9.76  -0.18  -0.77  17.0    0.4   -0.1  -0.1    0.0    0.0 
  9.71  -0.19  -0.73  16.1    0.4   -0.2  -0.1    0.0    0.0 
  9.71  -0.18  -0.71  15.3    0.3   -0.5  -0.1    0.0    0.0 
  9.73  -0.23  -0.76  14.5    0.4   -0.5  -0.1    0.0    0.0 
  9.71  -0.17  -0.70  14.1    0.3   -0.5  -0.1    0.1    0.0 
  9.76  -0.20  -0.71  13.5    0.5   -0.3  -0.1    0.1    0.0 
